gender,academic_level,interest_in_academic_path,preferred_track,track_choice_hesitancy,track_choice_factor,has_sufficient_resources,has_practical_internship,college_satisfaction,college_to_skill_gap,self_learning_scale,interest_in_emerging_fields,industry_demand_importance,salary_importance,goal_confidence,interview_preparedness,certification_importance,preferred_work_type,preferred_platform
Male,fourth,High,Data Science,Slightly Hesitant,Personal Interest,Yes,Yes,Satisfied,Moderate,4,Yes,Medium,High,3,4,3,Remote,LinkedIn
Male,third,Low,Mobile Development,Very Hesitant,Personal Interest,No,Yes,Very Satisfied,Small,5,No,High,High,4,5,5,Hybrid,LinkedIn
Male,fourth,Low,Web Development,Very Hesitant,Personal Interest,No,Yes,Satisfied,Small,4,No,Medium,Medium,5,5,5,Remote,LinkedIn
Male,third,Low,Web Development,Hesitant,Market Demand,No,Yes,Satisfied,Small,5,No,Medium,Medium,2,3,5,Remote,LinkedIn
Male,first,Low,AI,Very Hesitant,Personal Interest,No,Yes,Dissatisfied,Small,3,No,High,High,3,3,3,Hybrid,Indeed
Male,third,Neutral,AI,Hesitant,Personal Interest,No,Yes,Satisfied,Large,4,No,Medium,Medium,5,4,3,On-site,LinkedIn
Female,fourth,Neutral,Cybersecurity,Slightly Hesitant,Personal Interest,No,Yes,Very Satisfied,Moderate,4,No,High,Medium,3,2,4,Remote,LinkedIn
Male,fourth,Neutral,Data Science,Hesitant,Salary Prospects,No,Yes,Dissatisfied,Large,4,No,Medium,Medium,2,1,3,On-site,Fiverr
Female,third,Low,Web Development,Very Hesitant,Personal Interest,No,No,Satisfied,Moderate,4,No,Medium,High,4,4,3,Remote,Indeed
Female,fourth,Low,Data Science,Very Hesitant,Personal Interest,No,No,Satisfied,Moderate,3,No,Medium,Medium,5,5,4,On-site,LinkedIn
Male,third,Low,Cybersecurity,Hesitant,Personal Interest,No,No,Satisfied,Small,4,No,High,High,5,4,3,Hybrid,LinkedIn
Female,second,Neutral,AI,Slightly Hesitant,Market Demand,No,No,Satisfied,Moderate,4,No,Medium,High,2,1,5,Remote,LinkedIn
Male,third,Neutral,Web Development,Hesitant,Personal Interest,No,No,Dissatisfied,Large,4,No,High,Medium,3,3,3,On-site,LinkedIn
Female,second,Neutral,Web Development,Hesitant,Personal Interest,No,No,Very Dissatisfied,Moderate,5,No,High,High,5,5,5,On-site,LinkedIn
Male,second,Low,Web Development,Very Hesitant,Flexibility,No,No,Neutral,Moderate,4,No,High,High,3,4,5,Remote,LinkedIn
Male,second,Neutral,Web Development,Slightly Hesitant,Flexibility,No,No,Very Dissatisfied,Large,4,No,High,High,4,5,4,Remote,LinkedIn
Male,third,Low,Data Science,Hesitant,Personal Interest,No,Yes,Satisfied,Small,3,No,High,High,4,5,2,Remote,LinkedIn
Male,first,Low,Web Development,Very Hesitant,Market Demand,No,No,Very Dissatisfied,Large,5,No,High,Medium,4,3,4,Hybrid,Fiverr
Male,third,Low,Cybersecurity,Hesitant,Personal Interest,No,Yes,Satisfied,Small,4,No,High,High,4,5,5,Freelance,LinkedIn
Female,fourth,Neutral,AI,Hesitant,Personal Interest,No,Yes,Neutral,Moderate,3,No,High,High,5,5,2,Remote,LinkedIn
Female,third,High,Data Science,Neutral,Salary Prospects,Yes,Yes,Very Satisfied,Moderate,5,Yes,High,High,2,2,5,Remote,LinkedIn
Male,first,Low,Mobile Development,Hesitant,Personal Interest,No,No,Dissatisfied,Large,5,No,Medium,High,5,5,4,Hybrid,LinkedIn
Male,first,Low,Mobile Development,Hesitant,Flexibility,No,No,Neutral,Moderate,3,No,Medium,High,3,4,3,Hybrid,LinkedIn
Male,third,High,AI,Slightly Hesitant,Personal Interest,Yes,No,Satisfied,Small,5,Yes,High,High,5,5,5,Remote,Upwork
Male,third,Low,Data Science,Very Hesitant,Personal Interest,No,Yes,Neutral,Large,3,No,High,Medium,5,4,2,Hybrid,Fiverr
Male,first,Low,Data Science,Very Hesitant,Personal Interest,No,No,Dissatisfied,Large,5,No,Medium,High,4,5,4,On-site,LinkedIn
Male,fourth,High,Web Development,Slightly Hesitant,Personal Interest,Yes,Yes,Very Satisfied,Small,5,Yes,High,High,5,5,5,Remote,LinkedIn
Male,fourth,Low,Data Science,Hesitant,Salary Prospects,No,No,Dissatisfied,Large,5,No,High,Medium,4,5,4,Remote,LinkedIn
Female,third,Low,Data Science,Very Hesitant,Personal Interest,No,No,Very Satisfied,Small,5,No,Medium,High,3,2,4,Hybrid,Indeed
Female,fourth,Low,Data Science,Very Hesitant,Personal Interest,No,Yes,Satisfied,Large,5,No,Medium,Medium,5,4,5,Remote,Indeed
Female,third,Neutral,AI,Slightly Hesitant,Market Demand,No,Yes,Satisfied,Small,4,No,Medium,High,3,4,4,Remote,LinkedIn
Female,third,High,Cybersecurity,Slightly Hesitant,Personal Interest,Yes,Yes,Very Dissatisfied,Small,5,Yes,High,High,5,4,4,Remote,LinkedIn
Female,third,Low,Cybersecurity,Very Hesitant,Market Demand,No,Yes,Very Satisfied,Small,3,No,Medium,High,3,2,2,Remote,LinkedIn
Female,third,Neutral,Data Science,Hesitant,Salary Prospects,No,Yes,Satisfied,Moderate,3,No,High,Medium,2,3,2,On-site,LinkedIn
Female,second,Low,Data Science,Very Hesitant,Personal Interest,No,No,Very Dissatisfied,Large,3,No,Medium,High,4,3,2,Remote,LinkedIn
Female,third,Low,Web Development,Very Hesitant,Personal Interest,No,Yes,Dissatisfied,Large,5,No,High,High,5,5,5,Remote,LinkedIn
Male,second,High,AI,Neutral,Personal Interest,Yes,No,Dissatisfied,Large,4,Yes,Medium,High,4,4,4,Remote,Fiverr
Female,fourth,Low,Web Development,Very Hesitant,Personal Interest,No,Yes,Satisfied,Small,3,No,High,Medium,4,5,3,Remote,Indeed
Male,fourth,Low,Data Science,Hesitant,Personal Interest,No,Yes,Satisfied,Small,5,No,High,Medium,4,3,5,Remote,LinkedIn
Male,fourth,Low,Web Development,Very Hesitant,Personal Interest,No,Yes,Very Satisfied,Moderate,5,No,Medium,High,4,3,5,Remote,Indeed
Female,third,Low,Data Science,Very Hesitant,Market Demand,No,Yes,Satisfied,Moderate,5,No,High,High,4,5,5,Remote,LinkedIn
Male,third,High,Cybersecurity,Neutral,Personal Interest,Yes,Yes,Neutral,Moderate,4,Yes,High,High,5,4,5,On-site,LinkedIn
Male,fourth,Neutral,Data Science,Hesitant,Personal Interest,No,Yes,Neutral,Moderate,4,No,High,High,4,5,5,Hybrid,LinkedIn
Male,third,High,Web Development,Neutral,Personal Interest,Yes,No,Satisfied,Moderate,4,Yes,High,High,4,4,3,Hybrid,LinkedIn
Female,third,High,AI,Slightly Hesitant,Personal Interest,Yes,No,Very Satisfied,Small,4,Yes,Medium,Medium,3,4,5,Remote,Indeed
Female,third,Low,Cybersecurity,Hesitant,Salary Prospects,No,Yes,Very Satisfied,Large,5,No,High,Medium,4,5,5,Freelance,LinkedIn
Female,fourth,Neutral,Cybersecurity,Hesitant,Personal Interest,No,Yes,Satisfied,Small,5,No,High,High,3,3,5,Hybrid,Fiverr
Female,fourth,Low,Data Science,Hesitant,Market Demand,No,No,Satisfied,Small,5,No,High,High,2,2,4,Hybrid,LinkedIn
Female,second,Low,Data Science,Very Hesitant,Personal Interest,No,No,Satisfied,Small,5,No,High,Medium,3,3,4,Remote,LinkedIn
Female,third,High,Data Science,Slightly Hesitant,Personal Interest,Yes,Yes,Satisfied,Small,4,Yes,High,High,3,4,4,Remote,LinkedIn
Male,fourth,Low,Data Science,Hesitant,Personal Interest,No,Yes,Satisfied,Small,5,No,High,High,3,3,5,Remote,LinkedIn
Male,third,Low,Web Development,Hesitant,Market Demand,No,Yes,Very Satisfied,Small,4,No,High,Medium,2,1,4,Hybrid,LinkedIn
Male,first,Low,Web Development,Hesitant,Personal Interest,No,No,Satisfied,Moderate,3,No,High,High,5,5,4,Remote,LinkedIn
Male,third,Neutral,Web Development,Slightly Hesitant,Personal Interest,No,Yes,Dissatisfied,Large,4,No,High,High,5,5,3,Freelance,LinkedIn
Male,fourth,Neutral,Cybersecurity,Slightly Hesitant,Market Demand,No,Yes,Very Dissatisfied,Large,4,No,High,Medium,4,3,5,Hybrid,LinkedIn
Female,second,Low,AI,Very Hesitant,Personal Interest,No,No,Neutral,Moderate,5,No,Medium,High,3,4,4,Hybrid,LinkedIn
Female,third,Neutral,AI,Hesitant,Market Demand,No,Yes,Very Satisfied,Small,4,No,Medium,High,3,4,3,Remote,LinkedIn
Male,third,Low,Mobile Development,Hesitant,Market Demand,No,Yes,Dissatisfied,Small,5,No,High,High,2,2,5,Freelance,Indeed
